AA;Aaron
AB;Abba
AD;Adula
AE;André
AF;Affe
AG;Agron
AH;Archer
AI;Ami
AJ;Arja
AK;Anakin
AL;Alligatoah
AM;Aquaman
AN;Annika
AO;Arno
AP;Aspinall
AQ;Ashley
AR;Ariel
AS;Assad
AT;A-Train
AU;Augustus
AV;Avatar
AW;Arwen
AZ;Atze
BA;Baby
BB;Baerbock
BD;Biden
BE;Bee
BF;Buffet
BG;Badger
BH;Bach
BI;Bernie
BJ;Björn
BK;Brückner
BL;Bill
BM;Batman
BN;Ben
BO;Bodo
BP;Black Panther
BQ;Bush
BR;Barry
BS;Bison
BT;Butcher
BU;Bundy
BV;Beethoven
BW;Baldwin
BZ;Buzz
DA;Dana
DB;Dobby
DD;Dumbledore
DE;Deep
DF;Dafoe
DG;Dagorbert
DH;Danaher
DI;Diana
DJ;Djokovic
DK;Deckert
DL;Drachenlord
DM;Domi
DN;Daenerys
DO;Dobrint
DP;Deadpool
DQ;Doofenschmirz
DR;Darryl
DS;Daisy
DT;Detert
DU;Dudley
DV;David
DW;Dwight
DZ;Dönitz
EA;Erika
EB;Eber
ED;Eddard
EE;Eero
EF;Effie
EG;Eugene
EH;Eichhörnchen
EI;Ernie
EJ;Elton John
EK;Esken
EL;Elon
EM;Eminem
EN;Enid
EO;Esposito
EP;Epstein
EQ;Eilish
ER;Eric
ES;Einstein
ET;E.T.
EU;Euron
EV;Eleven
EW;Ewok
EZ;Elizabeth
FA;Fabian
FB;Fabio
FD;Fidel
FE;Fee
FF;Fluffy
FG;Fudge
FH;Filch
FI;Fini
FJ;Fjodor
FK;Floki
FL;Fleur
FM;Feynman
FN;Finn
FO;Falco
FP;Flappy
FQ;Flash
FR;Fries
FS;Frankenstein
FT;Fett
FU;Furiosa
FV;Feivel
FW;Flitwick
FZ;Fritz
GA;Gaga
GB;Greyback
GD;Gandalf
GE;Genie
GF;Garfield
GG;Goldgräber
GH;Ghul
GI;Ginny
GJ;Gustav Jung
GK;Gronk
GL;Gollum
GM;Grönemeyer
GN;Glenn
GO;Groot
GP;Gump
GQ;Goudschmidt
GR;Göring
GS;Gosens
GT;Greta
GU;Guillermo
GV;Grievous
GW;Gawron
GZ;Godzilla
HA;Hank
HB;Habeck
HD;Hades
HE;Helene
HF;Hofmann
HG;Hagrid
HH;Hugh Hefner
HI;Hitler
HJ;Hijab
HK;Hulk
HL;Homelander
HM;Hermine
HN;Hannibal
HO;Homer
HP;Hippo
HQ;Hershel
HR;Harry
HS;Hopsin
HT;Hamilton
HU;Hughie
HV;Harvey
HW;Hedwig
HZ;Hazel
IA;Isaac
IB;Ibrahimovic
ID;Inder
IE;Iceman
IF;Inferi
IG;Igor
IH;Idaho
II;Iosif
IJ;Iljad
IK;Icke
IL;Illeger
IM;Iron Man
IN;Indiana
IO;Ingo
IP;Imperator
IQ;Ice Qube
IR;Irulan
IS;Islam
IT;It
IU;Ikarus
IV;Ivanka
IW;Irwin
IZ;Izzy
JA;Jane
JB;Jabba
JD;Judith
JE;Jesus
JF;Joffrey
JG;Jäger
JH;Johann
JI;Jigsaw
JJ;Jar Jar
JK;Joker
JL;Juli
JM;Jamal
JN;Jon
JO;Jojo
JP;JPerm
JQ;Josh
JR;Jerry
JS;Jess
JT;Justin
JU;Julius
JV;Javier
JW;Jew
JZ;Jay-Z
KA;Kara
KB;Khabib
KD;Kaddi
KE;Kane
KF;Kleinfinger
KG;King
KH;Kreacher
KI;Kai
KJ;Kajo
KK;Krake
KL;Kiesling
KM;Kimmich
KN;Kennedy
KO;Kylo
KP;Klopp
KQ;Kusch
KR;Karin
KS;Knossi
KT;Kate
KU;Klum
KV;Kevin
KW;Kwon
KZ;Katze
LA;Lea
LB;Lauterbach
LD;Leonardo
LE;Lenin
LF;Leatherface
LG;Languste
LH;Lockhart
LI;Leni
LJ;Lijana
LK;Loki
LL;Lil
LM;Liam
LN;Lena
LO;Lori
LP;Lupin
LQ;Laschet
LR;Loras
LS;Lisa
LT;Leto
LU;Luna
LV;Lavender
LW;Löwe
LZ;Lanz
MA;Mia
MB;M'Barek
MD;Medusa
ME;Meike
MF;Malfoy
MG;Magneto
MH;Michonne
MI;Mimi
MJ;Minaj
MK;Merkel
ML;Marlena
MM;Micky Maus
MN;Minion
MO;Moody
MP;Mbappé
MQ;Marsch
MR;Mario
MS;Manson
MT;Matt
MU;Mumie
MV;Meave
MW;Mayweather
MZ;Merz
NA;Noah
NB;Napoleaon Bonaparte
ND;Nadine
NE;Neuer
NF;NF
NG;Negan
NH;Nashorn
NI;Nisie
NJ;Netanjahu
NK;Niko
NL;Nahles
NM;Nemo
NN;Nonne
NO;Noir
NP;Nippard
NQ;Nietzsche
NR;Narr
NS;Nessie
NT;Nutte
NU;Nuhr
NV;Neville
NW;Newton
NZ;Nerz
OA;Ola
OB;Obama
OD;Odin
OE;Owen
OF;Olaf
OG;Organa
OH;Oppenheimer
OI;Obi
OJ;OJ Simpson
OK;Ork
OL;Olor
OM;Omar
ON;Ondra
OO;Otto
OP;Oprah
OQ;Yoshi
OR;Ortega
OS;Osama
OT;Otis
OU;Orangutan
OV;Oliver
OW;Oswald
OZ;Ozzy
PA;Pia
PB;Pablo
PD;Pedro
PE;Peter
PF;Pomfrey
PG;Pinguin
PH;Precht
PI;Pipi
PJ;Pamaj
PK;Pikachu
PL;Paul
PM;Pamela
PN;Penny
PO;Podrick
PP;Piper
PQ;Poschardt
PR;Priat
PS;Puss
PT;Putin
PU;Pumuckl
PV;Peeves
PW;Powell
PZ;Pro-ZD
QA;Shakira
QB;Shelby
QD;Schmidl
QE;Sheen
QF;Schaf
QG;Schlange
QH;Scheich
QI;Schiri
QJ;Qui-Gon Jinn
QK;Shrek
QL;Schuler
QM;Schumacher
QN;Shane
QO;Sheldon
QP;Schöpp
QQ;Shaq
QR;Scheuer
QS;Shakespeare
QT;Schuster
QU;Schulz
QV;Quicksilver
QW;Schweinsteiger
QZ;Shazam
RA;Raab
RB;Robert
RD;R2D2
RE;Rene
RF;Raff
RG;Rogan
RH;Reacher
RI;Riley
RJ;Rjan Johnson
RK;Rick
RL;Roland
RM;Rami
RN;Ron
RO;Rooney
RP;Rapunzel
RQ;Rushdi
RR;Ronald Reagen
RS;Russel
RT;Rita
RU;Rue
RV;Reeves
RW;Rowan
RZ;Rezee
SA;Sansa
SB;Spongebob
SD;Söder
SE;Selensky
SF;Sofi
SG;Stilgar
SH;Slughorn
SI;Simon
SJ;Steve Jobs
SK;Skylar
SL;Starlight
SM;Sam
SN;Sinn
SO;Solo
SP;Snape
SQ;Slash
SR;Sirius
SS;Sissy
ST;Stormtrooper
SU;Susi
SV;Steven
SW;Samwell
SZ;Spatz
TA;Tamina
TB;Tabea
TD;Todd
TE;Tyreese
TF;Thufir
TG;Tiger
TH;Thor
TI;Tyrion
TJ;TJ
TK;Tarkin
TL;Till
TM;Timo
TN;Thanos
TO;Toad
TP;Trump
TQ;Tesch
TR;Torance
TS;Tyson
TT;Tate
TU;Trudeau
TV;Trevor
TW;Tywin
TZ;Tarzan
UA;Usain
UB;Umbridge
UD;Udem
UE;Umber
UF;Ulfric
UG;Unge
UH;Uhse
UI;Unicorn
UJ;Ujen
UK;Ulrike
UL;Ulli
UM;Urmel
UN;Un
UO;Udo
UP;Umpire
UQ;Uschi
UR;Ursula
US;Uncle Sam
UT;Undertaker
UU;Uruk-hai
UV;Undav
UW;Uwe
UZ;Ungeziefer
VA;Vlasta
VB;Violet Beauregard
VD;Vader
VE;Venom
VF;Vulkanforscher
VG;Van Gogh
VH;Van Helsing
VI;Vin
VJ;Vaja
VK;Volkmar
VL;Von Loh
VM;Voldemort
VN;Vernon
VO;Victoria
VP;Vampir
VQ;Vishy
VR;Varys
VS;Verstappen
VT;Veritasium
VU;Vitus
VV;Viven
VW;Volkanowski
VZ;Vinzent
WA;Waluigi
WB;Weber
WD;Wendigo
WE;Wall-E
WF;Wulff
WG;Wagner
WH;Warhol
WI;Wim
WJ;Wendj
WK;Wonka
WL;Will
WM;Wimmer
WN;Werner
WO;Wood
WP;Wespe
WQ;Wurmschwanz
WR;Wario
WS;Winston
WT;Watto
WU;Windu
WV;Wolverine
WW;Walter White
WZ;Wirtz
ZA;Zac
ZB;Zombie
ZD;Zelda
ZE;Zebra
ZF;Zapf
ZG;Ziege
ZH;Zhou
ZI;Zikade
ZJ;Zendaja
ZK;Zuckerberg
ZL;Zelle
ZM;Zimmerman
ZN;Zidane
ZO;Zoe
ZP;Zyklop
ZQ;XQC
ZR;Zorro
ZS;Zauser
ZT;Zatanna
ZU;Zeus
ZV;Zverev
ZW;Zwerg
ZZ;Zuzanna
